Played 298 out of 4900 games (6%): [102, 34] 
Played 299 out of 4900 games (6%): [104, 34] 
Played 300 out of 4900 games (6%): [104, 37] 
Played 301 out of 4900 games (6%): [1, 0] 
Played 302 out of 4900 games (6%): [2, 0] 
Played 303 out of 4900 games (6%): [3, 0] 
Played 304 out of 4900 games (6%): [4, 0] 
Played 305 out of 4900 games (6%): [5, 0] 
Played 306 out of 4900 games (6%): [5, 2] 
Played 307 out of 4900 games (6%): [6, 2] 
Played 308 out of 4900 games (6%): [7, 2] 
Played 309 out of 4900 games (6%): [7, 4] 
Played 310 out of 4900 games (6%): [8, 4] 
Played 311 out of 4900 games (6%): [9, 4] 
Played 312 out of 4900 games (6%): [10, 4] 
Played 313 out of 4900 games (6%): [10, 7] 
Played 314 out of 4900 games (6%): [11, 7] 
Played 315 out of 4900 games (6%): [11, 9] 
Played 316 out of 4900 games (6%): [11, 11] 
Played 317 out of 4900 games (6%): [12, 11] 
Played 318 out of 4900 games (6%): [13, 11] 
Played 319 out of 4900 games (7%): [14, 11] 
Played 320 out of 4900 games (7%): [14, 12] 
Played 321 out of 4900 games (7%): [14, 15] 
Played 322 out of 4900 games (7%): [15, 15] 
Played 323 out of 4900 games (7%): [15, 18] 
Played 324 out of 4900 games (7%): [16, 18] 
Played 325 out of 4900 games (7%): [17, 18] 
Played 326 out of 4900 games (7%): [18, 18] 
Played 327 out of 4900 games (7%): [19, 18] 
Played 328 out of 4900 games (7%): [20, 18] 
Played 329 out of 4900 games (7%): [21, 18] 
Played 330 out of 4900 games (7%): [23, 18] 
Played 331 out of 4900 games (7%): [24, 18] 
Played 332 out of 4900 games (7%): [25, 18] 
Played 333 out of 4900 games (7%): [27, 18] 
Played 334 out of 4900 games (7%): [29, 18] 
Played 335 out of 4900 games (7%): [32, 18] 
Played 336 out of 4900 games (7%): [35, 18] 
Played 337 out of 4900 games (7%): [36, 18] 
Played 338 out of 4900 games (7%): [36, 19] 
Played 339 out of 4900 games (7%): [37, 19] 
Played 340 out of 4900 games (7%): [39, 19] 
Played 341 out of 4900 games (7%): [39, 22] 
Played 342 out of 4900 games (7%): [41, 22] 
Played 343 out of 4900 games (7%): [41, 23] 
Played 344 out of 4900 games (7%): [43, 23] 
Played 345 out of 4900 games (7%): [44, 23] 
Played 346 out of 4900 games (7%): [46, 23] 
Played 347 out of 4900 games (7%): [47, 23] 
Played 348 out of 4900 games (7%): [50, 23] 
Played 349 out of 4900 games (7%): [50, 26] 
Played 350 out of 4900 games (7%): [51, 26] 
Played 351 out of 4900 games (7%): [51, 28] 
Played 352 out of 4900 games (7%): [51, 31] 
Played 353 out of 4900 games (7%): [52, 31] 
Played 354 out of 4900 games (7%): [53, 31] 
Played 355 out of 4900 games (7%): [54, 31] 
Played 356 out of 4900 games (7%): [55, 31] 
Played 357 out of 4900 games (7%): [56, 31] 
Played 358 out of 4900 games (7%): [57, 31] 
Played 359 out of 4900 games (7%): [59, 31] 
Played 360 out of 4900 games (7%): [59, 33] 
Played 361 out of 4900 games (7%): [59, 35] 
Played 362 out of 4900 games (7%): [59, 38] 
Played 363 out of 4900 games (7%): [60, 38] 
Played 364 out of 4900 games (7%): [60, 39] 
Played 365 out of 4900 games (7%): [60, 42] 
Played 366 out of 4900 games (7%): [60, 44] 
Played 367 out of 4900 games (7%): [60, 46] 
Played 368 out of 4900 games (8%): [63, 46] 
Played 369 out of 4900 games (8%): [64, 46] 
Played 370 out of 4900 games (8%): [66, 46] 
Played 371 out of 4900 games (8%): [66, 48] 
Played 372 out of 4900 games (8%): [68, 48] 
Played 373 out of 4900 games (8%): [68, 49] 
Played 374 out of 4900 games (8%): [68, 50] 
Played 375 out of 4900 games (8%): [71, 50] 
Played 376 out of 4900 games (8%): [72, 50] 
Played 377 out of 4900 games (8%): [73, 50] 
Played 378 out of 4900 games (8%): [74, 50] 
Played 379 out of 4900 games (8%): [77, 50] 
Played 380 out of 4900 games (8%): [78, 50] 
Played 381 out of 4900 games (8%): [78, 52] 
Played 382 out of 4900 games (8%): [78, 53] 
Played 383 out of 4900 games (8%): [78, 56] 
Played 384 out of 4900 games (8%): [80, 56] 
Played 385 out of 4900 games (8%): [80, 57] 
Played 386 out of 4900 games (8%): [80, 58] 
Played 387 out of 4900 games (8%): [80, 60] 
Played 388 out of 4900 games (8%): [81, 60] 
Played 389 out of 4900 games (8%): [83, 60] 
Played 390 out of 4900 games (8%): [84, 60] 
Played 391 out of 4900 games (8%): [85, 60] 
Played 392 out of 4900 games (8%): [86, 60] 
Played 393 out of 4900 games (8%): [86, 61] 
