Played 526 out of 4900 games (11%): [16, 12] 
Played 527 out of 4900 games (11%): [17, 12] 
Played 528 out of 4900 games (11%): [17, 13] 
Played 529 out of 4900 games (11%): [18, 13] 
Played 530 out of 4900 games (11%): [19, 13] 
Played 531 out of 4900 games (11%): [19, 14] 
Played 532 out of 4900 games (11%): [19, 15] 
Played 533 out of 4900 games (11%): [20, 15] 
Played 534 out of 4900 games (11%): [21, 15] 
Played 535 out of 4900 games (11%): [21, 16] 
Played 536 out of 4900 games (11%): [22, 16] 
Played 537 out of 4900 games (11%): [23, 16] 
Played 538 out of 4900 games (11%): [23, 17] 
Played 539 out of 4900 games (11%): [24, 17] 
Played 540 out of 4900 games (11%): [25, 17] 
Played 541 out of 4900 games (11%): [25, 18] 
Played 542 out of 4900 games (11%): [26, 18] 
Played 543 out of 4900 games (11%): [27, 18] 
Played 544 out of 4900 games (11%): [27, 19] 
Played 545 out of 4900 games (11%): [28, 19] 
Played 546 out of 4900 games (11%): [30, 19] 
Played 547 out of 4900 games (11%): [31, 19] 
Played 548 out of 4900 games (11%): [31, 20] 
Played 549 out of 4900 games (11%): [31, 21] 
Played 550 out of 4900 games (11%): [31, 22] 
Played 551 out of 4900 games (11%): [32, 22] 
Played 552 out of 4900 games (11%): [32, 23] 
Played 553 out of 4900 games (11%): [33, 23] 
Played 554 out of 4900 games (11%): [33, 24] 
Played 555 out of 4900 games (11%): [34, 24] 
Played 556 out of 4900 games (11%): [34, 26] 
Played 557 out of 4900 games (11%): [34, 28] 
Played 558 out of 4900 games (11%): [35, 28] 
Played 559 out of 4900 games (11%): [36, 28] 
Played 560 out of 4900 games (11%): [36, 29] 
Played 561 out of 4900 games (11%): [37, 29] 
Played 562 out of 4900 games (11%): [39, 29] 
Played 563 out of 4900 games (11%): [40, 29] 
Played 564 out of 4900 games (12%): [41, 29] 
Played 565 out of 4900 games (12%): [42, 29] 
Played 566 out of 4900 games (12%): [44, 29] 
Played 567 out of 4900 games (12%): [45, 29] 
Played 568 out of 4900 games (12%): [46, 29] 
Played 569 out of 4900 games (12%): [47, 29] 
Played 570 out of 4900 games (12%): [48, 29] 
Played 571 out of 4900 games (12%): [48, 30] 
Played 572 out of 4900 games (12%): [48, 31] 
Played 573 out of 4900 games (12%): [50, 31] 
Played 574 out of 4900 games (12%): [50, 32] 
Played 575 out of 4900 games (12%): [52, 32] 
Played 576 out of 4900 games (12%): [53, 32] 
Played 577 out of 4900 games (12%): [54, 32] 
Played 578 out of 4900 games (12%): [54, 33] 
Played 579 out of 4900 games (12%): [56, 33] 
Played 580 out of 4900 games (12%): [56, 34] 
Played 581 out of 4900 games (12%): [56, 35] 
Played 582 out of 4900 games (12%): [57, 35] 
