/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
Playing 24200 games:
Played 401 out of 24200 games (2%): [1, 0] 
Played 402 out of 24200 games (2%): [2, 0] 
Played 403 out of 24200 games (2%): [3, 0] 
Played 404 out of 24200 games (2%): [6, 0] 
Played 405 out of 24200 games (2%): [7, 0] 
Played 406 out of 24200 games (2%): [8, 0] 
Played 407 out of 24200 games (2%): [9, 0] 
Played 408 out of 24200 games (2%): [11, 0] 
Played 409 out of 24200 games (2%): [12, 0] 
Played 410 out of 24200 games (2%): [13, 0] 
Played 411 out of 24200 games (2%): [14, 0] 
Played 412 out of 24200 games (2%): [14, 2] 
Played 413 out of 24200 games (2%): [14, 3] 
Played 414 out of 24200 games (2%): [14, 5] 
Played 415 out of 24200 games (2%): [16, 5] 
Played 416 out of 24200 games (2%): [17, 5] 
Played 417 out of 24200 games (2%): [18, 5] 
Played 418 out of 24200 games (2%): [19, 5] 
Played 419 out of 24200 games (2%): [20, 5] 
Played 420 out of 24200 games (2%): [21, 5] 
Played 421 out of 24200 games (2%): [21, 6] 
Played 422 out of 24200 games (2%): [22, 6] 
Played 423 out of 24200 games (2%): [22, 7] 
Played 424 out of 24200 games (2%): [24, 7] 
Played 425 out of 24200 games (2%): [25, 7] 
Played 426 out of 24200 games (2%): [27, 7] 
Played 427 out of 24200 games (2%): [28, 7] 
Played 428 out of 24200 games (2%): [31, 7] 
Played 429 out of 24200 games (2%): [31, 8] 
Played 430 out of 24200 games (2%): [32, 8] 
Played 431 out of 24200 games (2%): [33, 8] 
Played 432 out of 24200 games (2%): [34, 8] 
Played 433 out of 24200 games (2%): [35, 8] 
Played 434 out of 24200 games (2%): [36, 8] 
Played 435 out of 24200 games (2%): [37, 8] 
Played 436 out of 24200 games (2%): [40, 8] 
Played 437 out of 24200 games (2%): [40, 11] 
Played 438 out of 24200 games (2%): [40, 12] 
Played 439 out of 24200 games (2%): [40, 15] 
Played 440 out of 24200 games (2%): [41, 15] 
Played 441 out of 24200 games (2%): [42, 15] 
Played 442 out of 24200 games (2%): [43, 15] 
Played 443 out of 24200 games (2%): [44, 15] 
Played 444 out of 24200 games (2%): [45, 15] 
Played 445 out of 24200 games (2%): [45, 16] 
Played 446 out of 24200 games (2%): [45, 17] 
Played 447 out of 24200 games (2%): [46, 17] 
Played 448 out of 24200 games (2%): [46, 18] 
Played 449 out of 24200 games (2%): [46, 21] 
Played 450 out of 24200 games (2%): [47, 21] 
Played 451 out of 24200 games (2%): [47, 22] 
Played 452 out of 24200 games (2%): [49, 22] 
Played 453 out of 24200 games (2%): [50, 22] 
Played 454 out of 24200 games (2%): [51, 22] 
Played 455 out of 24200 games (2%): [52, 22] 
Played 456 out of 24200 games (2%): [53, 22] 
Played 457 out of 24200 games (2%): [54, 22] 
Played 458 out of 24200 games (2%): [54, 25] 
Played 459 out of 24200 games (2%): [56, 25] 
Played 460 out of 24200 games (2%): [57, 25] 
Played 461 out of 24200 games (2%): [57, 27] 
Played 462 out of 24200 games (2%): [58, 27] 
Played 463 out of 24200 games (2%): [59, 27] 
Played 464 out of 24200 games (2%): [60, 27] 
Played 465 out of 24200 games (2%): [60, 29] 
